id,department,topic,frequency,last_queried
27,MR Office Department,Kamco ISO Certification,1,2024-10-17 04:34:47.417499+00:00
28,MR Office Department,KAMCO quality standards.,2,2024-10-17 04:35:28.894276+00:00
29,MR Office Department,Quality policy inquiry,1,2024-10-17 04:36:16.391002+00:00
30,MR Office Department,Deputy GM Operations Roles,1,2024-10-17 04:36:39.400330+00:00
31,MR Office Department,Purchasing procedure preference,1,2024-10-17 04:36:52.075900+00:00
32,MR Office Department,Power failure opportunities,1,2024-10-17 04:37:02.724655+00:00
33,MR Office Department,Customer relationship scope,2,2024-10-17 04:38:15.077363+00:00
34,MR Office Department,Post-dispatch procedures,1,2024-10-17 04:38:27.583873+00:00
35,MR Office Department,Red items for tiller.,1,2024-10-17 04:38:55.073332+00:00
36,MR Office Department,Post-maintenance procedures,1,2024-10-17 04:39:02.456110+00:00
37,Materials and Purchase Department,Purchase order criteria,1,2024-10-17 04:39:33.768110+00:00
38,Materials and Purchase Department,Approval limit inquiry,1,2024-10-17 04:39:43.562625+00:00
39,Materials and Purchase Department,Approval threshold inquiry,1,2024-10-17 04:39:58.694389+00:00
40,Materials and Purchase Department,Tender submission deadline,1,2024-10-17 04:40:07.143630+00:00
41,Materials and Purchase Department,EMD fixing percentage,1,2024-10-17 04:40:22.631484+00:00
42,Materials and Purchase Department,EMD exemption eligibility,1,2024-10-17 04:40:28.516588+00:00
43,Materials and Purchase Department,Approval authority identification,1,2024-10-17 04:40:34.821646+00:00
44,Materials and Purchase Department,Emergency purchase limit,1,2024-10-17 04:40:41.702351+00:00
45,Materials and Purchase Department,Minimum participants required,1,2024-10-17 04:40:48.362445+00:00
